"URL","Image URL","ASIN","Title","Brand","Fulfillment","Category","BSR","UPC","GTIN","EAN","ISBN","Subcategory","Subcategory BSR","Price","Price Trend (90 days) (%)","Parent Level Sales","ASIN Sales","Sales Trend (90 days) (%)","Parent Level Revenue","ASIN Revenue","Review Count","Reviews Rating","Seller","Seller Country/Region","Number of Active Sellers","Last Year Sales","Sales Year Over Year (%)","Size Tier","Length","Width","Height","Weight","Storage Fee (Jan - Sep)","Storage Fee (Oct - Dec)","Best Sales Period","Age (Month)","Number of Images","Variation Count","Sales to Reviews"
"https://amazon.com/dp/B07K2CCXMF","https://m.media-amazon.com/images/I/71ZY+ytTORL._SX450_.jpg","B07K2CCXMF","Calendar Girls (The Young Seducers 3) [DVD]","N/A","FBA","Movies & TV",87796,856968008325,"N/A",0856968008325,"N/A",,60296,24.81,-21,140,140,27,5021.57,5020.99,18,3.7,"Portsmouth Supply International, LLC","USA",4,1510,554,"Small Standard-Size",0.6,5.4,7.5,0.2,12.23,33.75,"11/30/2024",82,4,0,7.77
"https://amazon.com/dp/B0F7X99VXB","https://m.media-amazon.com/images/I/419Pb+-1WrL._SX450_.jpg","B0F7X99VXB","BKDEORS Inflatable Lounger Air Sofa with Detachable Sunshade Inflatable Lounger Beach Chair with Pillow Water Proof& Anti-Air Leaking Design, Portable for Beach Camping Music Festival Backyard","BKDEORS","FBA","Patio, Lawn & Garden",123154,"N/A","N/A","N/A","N/A","Lounge Chairs",194,29.99,"N/A",30,125,,1144,4946.31,4,2.9,"Giemali","China",1,0,"N/A","Large Standard-Size",3.7,11.07,15.4,2.74,317.57,876.07,"07/31/2025",3,7,0,7.48
"https://amazon.com/dp/B004SUDQ8G","https://m.media-amazon.com/images/I/51GGqoiv2BL._SX450_.jpg","B004SUDQ8G","Mr. & Mrs. Bridge","N/A","FBA","Movies & TV",122617,096009773793,00096009773793,0096009773793,"N/A",,18833,29.99,-63,141,141,207,4941.76,4940.48,72,3.7,"RapidPrimePros","USA",1,477,634,"Small Standard-Size",7.5,5.3,0.6,0.1,12.01,33.12,"06/30/2025",173,1,0,1.96
"https://amazon.com/dp/B0D342XY7N","https://m.media-amazon.com/images/I/91kt1TIXsrL._SX450_.jpg","B0D342XY7N","Without Name [Blu-ray]","Vinegar Syndrome","Amazon","Movies & TV",127194,814456029573,"N/A",0814456029573,"N/A",,4843,26.49,20,145,145,21,4922.03,4921.19,56,3.1,"Amazon","N/A",1,1779,"N/A","Small Standard-Size",0.55,5.31,6.77,0.22,"N/A","N/A","11/30/2024",15,6,0,2.59
"https://amazon.com/dp/B0BQCSFRS6","https://m.media-amazon.com/images/I/513I2qVXYML._SX450_.jpg","B0BQCSFRS6","Wild Westerns: Tombstone and Young Guns Blu-ray Collection + Including Bonus Art Card","Generic","FBA","Movies & TV",161728,"N/A","N/A","N/A","N/A",,787,29.96,-33,141,141,4,4751.71,4750.17,"N/A","N/A","We Care Media","USA",2,0,"N/A","Large Standard-Size",7,6,1,0.31,21.15,58.33,"11/30/2024",32,2,0,"N/A"
"https://amazon.com/dp/B01LTHKMTG","https://m.media-amazon.com/images/I/71RlX2aE3aL._SX450_.jpg","B01LTHKMTG","The Glass Key - La Llave De Cristal (1942) (Blu-Ray)","Llamentol","FBA","Movies & TV",275064,"N/A","N/A",8436022231696,"N/A","Chalk",1291,24.09,-33,144,144,4,4742.65,4741.1,4,3.7,"DaaVeeDee","USA",4,869,43350,"Small Standard-Size",0.39,5.43,6.69,0.18,7.21,19.88,"06/30/2025",107,2,0,35.95
"https://amazon.com/dp/B000IU4DK0","https://m.media-amazon.com/images/I/61WW6QTES1L._SX450_.jpg","B000IU4DK0","Dreamworks Interactive DVD Game","N/A","FBA","Movies & TV",290124,"N/A","N/A",5051189132230,"N/A",,222185,29.49,-50,147,147,97,4740.01,4738.65,16,3.6,"Travs Flips","USA",6,1212,677,"Small Standard-Size",0.55,5.31,7.56,0.18,11.15,30.76,"11/30/2024",156,1,0,9.18
"https://amazon.com/dp/B0FGPJM4XP","https://m.media-amazon.com/images/I/41jIX2IruPL._SX450_.jpg","B0FGPJM4XP","Gclcm Grand Floats Float-N-Fold Water Recliner Chair – TPE Pool Float Adults, Fun Outdoor Sizes 60/100cm (Blue, 100)","Gclcm","FBA","Toys & Games",76163,"N/A","N/A","N/A","N/A","Pool Rafts & Inflatable Ride-ons",806,29.99,32,159,108,,6280.41,4652.94,6,1,"Gclcm","China",1,0,"N/A","Large bulky",2.7,2.8,39.3,0.6,149.59,412.65,"06/30/2025",1,4,0,26.5
"https://amazon.com/dp/B004XZ99TQ","https://m.media-amazon.com/images/I/81zFiG59XkL._SX450_.jpg","B004XZ99TQ","The Incredible Journey of Mary Bryant: The Complete 2 Part Miniseries [Blu-ray]","SHOUT! FACTORY","FBA","Movies & TV",225970,011301203526,00011301203526,0011301203526,"N/A",,11351,29.99,"N/A",146,146,,4648.02,4646.95,14,3.7,"Destination Flips","USA",1,1058,"N/A","Small Standard-Size",0.58,5.42,7.1,0.18,11.28,31.12,"01/31/2025",172,1,0,10.45
"https://amazon.com/dp/B0FGYHS6FN","https://m.media-amazon.com/images/I/71JK7jarbML._SX450_.jpg","B0FGYHS6FN","(2 Pack) LipoMounj Pro Drops - Official LipoMounj Pro Droppers Premium Advanced Formula Support, Natural Liquid Formula Supplement for Overall Wellness and Support Health, 2 Bottles for 2 Months","LIVORKA","FBA","Health & Household",143847,"N/A",30850076944200,"N/A","N/A","Blended Vitamin & Mineral Supplements",6461,29.95,-25,114,114,,4639.51,4639.37,1,1,"SunriseSelections","USA",2,0,"N/A","Large Standard-Size",1.93,3.7,5.98,0.62,21.5,59.31,"06/30/2025",1,8,0,113.88
"https://amazon.com/dp/B003IZUAWC","https://m.media-amazon.com/images/I/71CVXsSi6iL._SX450_.jpg","B003IZUAWC","La danse : le ballet de l'opéra de Paris","N/A","FBM","Movies & TV",272059,"N/A","N/A",3346030021927,"N/A",,207164,27.92,-26,137,137,26,4615.92,4615.68,61,3.6,"Prestivo","France",3,1249,1229,"Small Standard-Size",7.64,5.35,0.59,0.33,"N/A","N/A","11/30/2024",156,1,0,2.25
"https://amazon.com/dp/B0771JSCJ2","https://m.media-amazon.com/images/I/A1eIeANy-LL._SX450_.jpg","B0771JSCJ2","Rebels With A Cause : How A Battle Over California Land Changed The Landscape Forever ( A 72 Minute and 57 Minute DVD)","N/A","FBM","Movies & TV",389299,"N/A","N/A","N/A","N/A",,305061,24.99,9,134,134,61,4597.93,4597.2,0,"N/A","Pipmora","USA",2,1513,672,"Small Standard-Size",0.63,5.35,7.56,0.19,"N/A","N/A","12/31/2024",94,1,0,"N/A"
"https://amazon.com/dp/B01C8RGGR8","https://m.media-amazon.com/images/I/81Js08SoKiL._SX450_.jpg","B01C8RGGR8","The Woods [DVD]","N/A","FBM","Movies & TV",461372,"N/A",05028836032915,5028836032915,"N/A",,366034,27.31,-26,138,138,67,4579.01,4577.49,9,3.4,"Gagazet Media","United Kingdom of Great Britain and Northern Ireland",2,0,"N/A","Small Standard-Size",0.71,5.43,7.56,0.22,"N/A","N/A","06/30/2025",113,1,0,15.35
"https://amazon.com/dp/B0FJF419JF","https://m.media-amazon.com/images/I/61xC1UAZ9ML._SX450_.jpg","B0FJF419JF","Revitalyn Gummies, Revitalin Apple Cider Vinegar Pectin Supplement for Wrinkles Skin Renewal Youthful Glow for Women, Revitalign Revitalizing Revital Applecider Aging Beauty Care Healthy Hair (60 Ct)","Vitaluxa","FBM","Health & Household",123008,"N/A","N/A","N/A","N/A","Blended Vitamin & Mineral Supplements",5461,24.95,-14,147,147,,4566.46,4566.28,"N/A","N/A","American Family Marketplace","USA",1,0,"N/A","Small Standard-Size",8,4,0.5,0.19,"N/A","N/A","07/31/2025",1,9,0,"N/A"
"https://amazon.com/dp/B018632NHK","https://m.media-amazon.com/images/I/71Qha9MA31L._SX450_.jpg","B018632NHK","Under the Volcano [ Blu-Ray, Reg.A/B/C Import - Spain ]","N/A","FBM","Movies & TV",211637,"N/A","N/A",8436558192980,"N/A",,11588,29,1,138,138,1,4561.44,4559.91,4,3.6,"DaaVeeDee","USA",3,0,"N/A","Small Standard-Size",6.85,5.31,0.47,0.15,"N/A","N/A","11/30/2024",116,2,0,34.57
